Hum,MaxHum,MinHum,Temp,MaxTemp,MinTemp,WindSpeed,Weather
90,95,75,20,29,18,3.704,60
75,95,60,68,84.2,64.4,27.78,63
85,95,60,28,30,18,9.26,61
95,95,70,82.4,86,64.4,3.704,60
85,95,60,23,30,21,9.26,3
60,95,60,73.4,86,69.8,18.52,61
90,95,60,19,30,20,9.26,61
95,95,60,66.2,86,68,9.26,3
75,95,60,20,30,20,3.704,1
60,95,70,68,86,68,9.26,61
85,95,60,30,31,21,9.26,60
95,95,60,86,87.8,69.8,9.26,3
80,95,75,23,33,21,3.704,60
70,95,65,73.4,91.4,69.8,27.78,61
85,95,65,22,32,20,9.26,63
95,95,70,71.6,89.6,68,3.704,61
80,95,60,21,32,21,9.26,60
60,95,60,69.8,89.6,69.8,18.52,61
90,95,60,30,30,20,9.26,60
95,95,60,86,86,68,9.26,3
75,95,60,21,30,20,3.704,3
60,95,75,69.8,86,68,18.52,61
80,95,60,20,31,21,9.26,60
95,95,60,68,87.8,69.8,9.26,3
75,95,70,24,28,18,3.704,61
65,95,70,75.2,82.4,64.4,27.78,61
80,95,70,30,30,18,9.26,61
95,95,60,86,86,64.4,3.704,60
80,95,60,22,29,20,9.26,3
60,95,60,71.6,84.2,68,18.52,60
90,95,70,20,30,21,9.26,60
95,95,70,68,86,69.8,9.26,3
80,95,70,24,31,20,9.26,3
60,95,70,75.2,87.8,68,18.52,60
85,95,60,30,32,21,9.26,60
95,95,60,86,89.6,69.8,3.704,60
80,95,70,24,33,21,3.704,60
70,95,65,75.2,91.4,69.8,27.78,61
85,95,65,23,32,20,9.26,63
95,95,75,73.4,89.6,68,3.704,61
80,95,65,25,33,22,9.26,3
60,95,65,77,91.4,71.6,18.52,61
90,95,60,31,29,18,9.26,60
95,95,60,87.8,84.2,64.4,9.26,3
75,95,60,26,30,18,3.704,3
60,95,60,78.8,86,64.4,18.52,61
85,95,60,24,30,21,9.26,60
95,95,60,75.2,86,69.8,9.26,3
90,95,70,26,28,18,3.704,61
75,95,65,78.8,82.4,64.4,27.78,63
85,95,65,33,29,18,9.26,63
95,95,75,91.4,84.2,64.4,3.704,60
85,95,70,27,29,18,9.26,3
65,95,65,80.6,84.2,64.4,18.52,60
90,95,75,20,33,21,9.26,60
95,95,65,68,91.4,69.8,9.26,3
75,95,65,26,33,20,3.704,3
65,95,70,78.8,91.4,68,9.26,60
85,95,60,32,34,23,9.26,60
95,95,60,89.6,93.2,73.4,3.704,3
80,95,70,26,29,19,3.704,63
75,95,60,78.8,84.2,66.2,27.78,63
85,95,60,24,29,19,9.26,63
95,95,70,75.2,84.2,66.2,3.704,60
80,95,60,24,29,18,9.26,3
60,95,60,75.2,84.2,64.4,18.52,61
90,95,60,32,30,21,9.26,60
95,95,65,89.6,86,69.8,9.26,3
80,95,65,27,31,20,3.704,3
60,95,70,80.6,87.8,68,18.52,60
85,95,60,24,32,21,3.704,60
95,95,60,75.2,89.6,69.8,3.704,3
75,95,75,24,30,20,3.704,61
65,95,60,75.2,86,68,27.78,61
80,95,60,30,30,20,9.26,61
95,95,60,86,86,68,3.704,61
80,95,60,22,29,19,9.26,3
60,95,60,71.6,84.2,66.2,18.52,60
90,95,70,20,30,19,9.26,60
95,95,65,68,86,66.2,9.26,3
80,95,60,24,30,18,9.26,3
60,95,60,75.2,86,64.4,18.52,60
85,95,60,30,30,20,3.704,60
95,95,60,86,86,68,9.26,3
90,95,75,24,33,21,3.704,60
75,95,70,75.2,91.4,69.8,27.78,63
85,95,65,23,33,20,9.26,63
95,95,70,73.4,91.4,68,3.704,60
85,95,60,25,34,24,9.26,3
